Title	URL	Status	Priority	Story Type	Estimate (Story Points)	Points Completed	Assignees	Contributors and % contribution	Quality Reviewer	Start date	End date (ready for QC by)	Deliverable / Sprint	Milestone
Deliverable 2	https://github.com/COS420-F25/TeamC/issues/80	Todo / Sprint Backlog					Nathan-R-Wheeler					D2	Deliverable 2 -Work complete-
Add logging in to Enviorment	https://github.com/COS420-F25/TeamC/issues/78	Todo / Sprint Backlog					acarty324					D2	Deliverable 2 -Work complete-
Architecture design	https://github.com/COS420-F25/TeamC/issues/87	Todo / Sprint Backlog										D2	Deliverable 2 -Work complete-
Architecture Design Diagram	https://github.com/COS420-F25/TeamC/issues/89	Todo / Sprint Backlog					Nathan-R-Wheeler					D2	Deliverable 2 -Work complete-
Architecture Design Description	https://github.com/COS420-F25/TeamC/issues/91	Todo / Sprint Backlog					Nathan-R-Wheeler					D2	Deliverable 2 -Work complete-
Expand SRS	https://github.com/COS420-F25/TeamC/issues/88	10-30% done					Nathan-R-Wheeler					D2	Deliverable 2 -Work complete-
View and Respond to feedback	https://github.com/COS420-F25/TeamC/issues/76	Todo / Sprint Backlog					Nicugh					D2	Deliverable 2 -Work complete-
Case diagrams, models, and descriptions	https://github.com/COS420-F25/TeamC/issues/85	Todo / Sprint Backlog					Nicugh					D2	Deliverable 2 -Work complete-
Case diagram	https://github.com/COS420-F25/TeamC/issues/90	Todo / Sprint Backlog										D2	Deliverable 2 -Work complete-
Make Use case #1	https://github.com/COS420-F25/TeamC/issues/77	Todo / Sprint Backlog					Nathan-R-Wheeler					D2	
Make Use Case for Story #2	https://github.com/COS420-F25/TeamC/issues/79	Todo / Sprint Backlog					acarty324					D2	
Make use case for stories 3-5	https://github.com/COS420-F25/TeamC/issues/81	Todo / Sprint Backlog					Loganm6704, Nathan-R-Wheeler					D2	
Make use case for story 6-8	https://github.com/COS420-F25/TeamC/issues/82	Todo / Sprint Backlog					Loganm6704, Nathan-R-Wheeler					D2	
Create user documentation for stories 9-10	https://github.com/COS420-F25/TeamC/issues/83	Todo / Sprint Backlog					acarty324					D2	
Make use case for stories 11-13	https://github.com/COS420-F25/TeamC/issues/84	Todo / Sprint Backlog					Nathan-R-Wheeler					D2	
Make use case for stories 14-16	https://github.com/COS420-F25/TeamC/issues/86	Todo / Sprint Backlog					Nathan-R-Wheeler					D2	
