Title	URL	Status	Priority	Story Type	Estimate (Story Points)	Points Completed	Assignees	Contributors and % contribution	Quality Reviewer	Start date	End date (ready for QC by)	Deliverable / Sprint	Milestone
Create your part of the design diagram(Ask questions, post responses, see responses && login/logout)	https://github.com/COS420-F25/TeamC/issues/136	60-90% done					acarty324		Nicugh		Nov 19, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Create 10 minute video of progress so far	https://github.com/COS420-F25/TeamC/issues/132	10-30% done					acarty324		Nicugh		Nov 22, 2025	Deliverable 4	Deliverable 4 -Submission-
Create your part of the design diagram(direct/ group messages)	https://github.com/COS420-F25/TeamC/issues/135	30-60% done					Nicugh		Aidan		Nov 19, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Create your part of the design diagram(Chat settings, vote Answer)	https://github.com/COS420-F25/TeamC/issues/133	Quality Checking					Nathan-R-Wheeler		Nicugh		Nov 19, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Make the Design pattern in Mermaid chart	https://github.com/COS420-F25/TeamC/issues/129	Quality Checking					Nathan-R-Wheeler		Logan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Create your part of the design diagram(Admin view of questions, flagging, timeout users(optional))	https://github.com/COS420-F25/TeamC/issues/137	Quality Checking					Loganm6704		Nathan		Nov 19, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Domain Model Fixes	https://github.com/COS420-F25/TeamC/issues/142	Done					Nicugh		Aidan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Add a relationship label for choose question -- reply to question	https://github.com/COS420-F25/TeamC/issues/139	Done					Nicugh		Logan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Fix ask question arrows	https://github.com/COS420-F25/TeamC/issues/141	Done					Nicugh		Aidan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
edit task descriptions for each DCD task	https://github.com/COS420-F25/TeamC/issues/134	Done					Nicugh				Nov 14, 2025	Deliverable 4	
Break up the classes for the Detailed Technical Design Document	https://github.com/COS420-F25/TeamC/issues/128	Todo / Sprint Backlog					Nathan-R-Wheeler		Aidan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Create Test plan document	https://github.com/COS420-F25/TeamC/issues/125	Todo / Sprint Backlog					Nathan-R-Wheeler		Logan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Export Sprint Backlog file	https://github.com/COS420-F25/TeamC/issues/126	Done					Nicugh		Logan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
PM Set up meeting with Dr.Greg	https://github.com/COS420-F25/TeamC/issues/123	Done										Deliverable 4	
Remove "Moderation" Node	https://github.com/COS420-F25/TeamC/issues/140	Done					Loganm6704		Nathan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
(optional)Usability Testing	https://github.com/COS420-F25/TeamC/issues/106	Todo / Sprint Backlog			1						Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Quality check improvement	https://github.com/COS420-F25/TeamC/issues/117	In Progress					acarty324, Loganm6704, Nathan-R-Wheeler, Nicugh				Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Ensure Proper Git Documentation	https://github.com/COS420-F25/TeamC/issues/143	In Progress					Nicugh		Logan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Milestone 1, Final deadline	https://github.com/COS420-F25/TeamC/issues/121	Todo / Sprint Backlog								Nov 23, 2025	Nov 23, 2025	Deliverable 4	
Milestone 2, Work Ready For QC	https://github.com/COS420-F25/TeamC/issues/122	Todo / Sprint Backlog								Nov 21, 2025	Nov 21, 2025	Deliverable 4	
Add more detail(Types/attributes) to Design diagram	https://github.com/COS420-F25/TeamC/issues/131	Todo / Sprint Backlog					Nathan-R-Wheeler		Logan		Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Continous Intergration	https://github.com/COS420-F25/TeamC/issues/108	Todo / Sprint Backlog					Nathan-R-Wheeler, Nicugh		Aidan		Nov 20, 2025	Deliverable 4	Deliverable 4 -Work Complete-
Commit something to github	https://github.com/COS420-F25/TeamC/issues/138	Todo / Sprint Backlog					Loganm6704		Nathan		Nov 23, 2025	Deliverable 4	Deliverable 4 -Submission-
Detailed technical design document	https://github.com/COS420-F25/TeamC/issues/130	30-60% done					acarty324, Loganm6704, Nathan-R-Wheeler, Nicugh		Logan	Nov 13, 2025	Nov 21, 2025	Deliverable 4	Deliverable 4 -Work Complete-
New Application tables	https://github.com/COS420-F25/TeamC/issues/127	30-60% done					acarty324		Nicugh		Nov 21, 2025	Deliverable 4	Deliverable 4 -Submission-
